# Sony VTC6 first-order model tables. Cell level. Pack=100s6p (5x 20s6p).
"# OCV(SOC) - 25C, C/25 chg/dchg average"
SOC_pct,OCV_V
0,2.6667
5,3.1758
10,3.2962
15,3.3906
20,3.4588
25,3.5260
30,3.5701
35,3.6237
40,3.6705
45,3.7152
50,3.7617
55,3.8049
60,3.8457
65,3.8884
70,3.9372
75,3.9889
80,4.0446
85,4.0795
90,4.0946
95,4.1191
100,4.1878

"# R0(SOC,T) mOhm per cell"
SOC_pct,5C,15C,25C,35C,45C
5,75.98,54.98,40.51,31.58,25.99
10,54.27,34.97,25.93,19.68,16.44
15,40.66,27.87,20.62,16.78,15.00
20,35.37,24.19,18.90,16.04,14.50
25,32.10,22.94,18.23,15.58,14.18
30,30.56,22.46,17.89,15.36,14.01
35,30.03,22.27,17.76,15.29,13.96
40,29.74,22.04,17.63,15.21,13.91
45,29.68,22.00,17.61,15.20,13.90
50,29.75,22.06,17.64,15.22,13.89
55,29.81,22.13,17.69,15.24,13.89
60,29.89,22.20,17.73,15.24,13.90
65,30.08,22.38,17.90,15.38,14.00
70,30.44,22.80,18.24,15.68,14.27
75,30.91,23.13,18.50,15.87,14.42
80,31.90,23.85,19.02,16.23,14.66
85,33.06,24.93,19.83,16.78,15.03
90,34.32,26.19,20.90,17.53,15.54
95,36.01,27.73,22.22,18.57,16.32
100,38.38,30.07,24.43,20.52,17.85

"# R1(SOC,T) mOhm per cell, tau = 5.51 s"
SOC_pct,5C,15C,25C,35C,45C
5,1.79,3.95,7.81,10.66,14.16
10,5.30,11.71,20.84,17.04,15.24
15,11.75,15.20,16.85,17.22,15.06
20,10.30,16.07,18.11,14.65,12.52
25,9.92,15.85,13.54,11.08,9.61
30,8.95,9.88,8.94,7.77,7.07
35,9.85,9.04,7.87,7.08,6.66
40,10.21,9.77,8.66,7.53,6.69
45,10.22,9.87,8.88,7.85,7.23
50,10.15,9.84,8.84,7.84,7.34
55,9.80,9.43,8.35,7.45,6.97
60,9.19,8.60,7.47,6.65,6.15
65,8.60,7.78,6.70,5.88,5.34
70,8.65,8.21,7.31,6.50,5.87
75,9.09,8.60,7.72,6.89,6.27
80,9.46,8.73,7.92,7.15,6.54
85,8.86,8.01,7.24,6.52,5.96
90,7.80,6.77,6.08,5.52,5.03
95,6.87,5.97,5.40,4.99,4.61
100,7.10,6.14,5.60,5.32,5.20

"# Capacity vs T, Ah per cell (0.5C)"
T_C,Q_Ah
5,2.853
15,2.904
25,2.927
35,2.934
45,2.932
